,50,60,70,80,90
MAC003828,0.09973696039684873,0.09229554226101906,0.13438035144766047,0.1261365625879812,0.14025839301245321
MAC003685,0.13542765944467322,0.1409276193108392,0.1253050533947015,0.14237788853332567,0.13304657784064758
MAC005415,0.13465739815237598,0.1428665013689344,0.09318262963058789,0.13231801577753982,0.13071385706480276
MAC000085,0.160818657134505,0.13451358331648905,0.16365335096376868,0.1363441961986629,0.12920628502635131
MAC004671,0.15885297273335336,0.16279336352685522,0.1845374522713104,0.17025717887468445,0.17472290288023398
MAC004218,0.09962476534596883,0.12744365262459753,1.2026379081802423,0.11105067699174996,0.15179289995621215
MAC001757,0.12863313356047,0.17008025159459417,0.15332609557963756,0.1533657357006024,0.14612366995409887
MAC004166,0.15285691791170683,0.11283571194712527,0.11863468239207402,0.08784280189515146,0.12307687541180495
MAC000246,0.14701970489543065,0.15216217615337937,0.15089696751638265,0.12621543008687375,0.1903214146474008
MAC000094,0.13276402453523095,0.16224097123139433,0.11537272786928551,0.1478259708835745,0.1983757976651435
